0	1	<s>	<s>
1	0	<eps>	<eps>
0	2	</s>	</s>
2	0	<eps>	<eps>
0	3	<unk>	<unk>
3	0	<eps>	<eps>
0	4	a	a
4	5	w	w
5	6	k	k
6	7	w	w
7	8	a	a
8	9	r	r
9	10	d	d
10	11	+N	<eps>
11	12	+SG	<eps>
12	0	<eps>	#
11	13	+PL	^s
13	0	<eps>	#
10	14	-	<eps>
14	15	<eps>	^
15	16	l	l
16	17	y	y
17	18	+ADV	<eps>
18	0	<eps>	#
10	19	-	<eps>
19	20	<eps>	^
20	21	n	n
21	22	e	e
22	23	s	s
23	24	s	s
24	25	+N	<eps>
25	0	<eps>	#
24	26	+PL	^s
26	0	<eps>	#
26	28	+PLPS	'
28	0	<eps>	#
24	27	+SGPS	's
27	0	<eps>	#
0	29	b	b
29	30	o	o
30	31	l	l
31	32	d	d
32	33	+N	<eps>
33	34	+SG	<eps>
34	0	<eps>	#
33	35	+PL	^s
35	0	<eps>	#
32	36	-	<eps>
36	37	<eps>	^
37	38	l	l
38	39	y	y
39	40	+ADV	<eps>
40	0	<eps>	#
32	41	-	<eps>
41	42	<eps>	^
42	43	n	n
43	44	e	e
44	45	s	s
45	46	s	s
46	47	+N	<eps>
47	0	<eps>	#
46	48	+PL	^s
48	0	<eps>	#
48	50	+PLPS	'
50	0	<eps>	#
46	49	+SGPS	's
49	0	<eps>	#
29	51	r	r
51	52	a	a
52	53	v	v
53	54	e	e
54	55	+N	<eps>
55	56	+SG	<eps>
56	0	<eps>	#
55	57	+PL	^s
57	0	<eps>	#
54	58	-	<eps>
58	59	<eps>	^
59	60	l	l
60	61	y	y
61	62	+ADV	<eps>
62	0	<eps>	#
54	63	-	<eps>
63	64	<eps>	^
64	65	r	r
65	66	y	y
66	67	+N	<eps>
67	0	<eps>	#
66	68	+PL	^s
68	0	<eps>	#
68	70	+PLPS	'
70	0	<eps>	#
66	69	+SGPS	's
69	0	<eps>	#
54	71	-	<eps>
71	72	<eps>	^
72	73	n	n
73	74	e	e
74	75	s	s
75	76	s	s
76	77	+N	<eps>
77	0	<eps>	#
76	78	+PL	^s
78	0	<eps>	#
78	80	+PLPS	'
80	0	<eps>	#
76	79	+SGPS	's
79	0	<eps>	#
51	81	i	i
81	82	g	g
82	83	h	h
83	84	t	t
84	85	+N	<eps>
85	86	+SG	<eps>
86	0	<eps>	#
85	87	+PL	^s
87	0	<eps>	#
84	88	-	<eps>
88	89	<eps>	^
89	90	e	e
90	91	n	n
91	92	+V	<eps>
92	0	<eps>	#
91	93	+3D	^s
93	0	<eps>	#
91	94	+ING	^ing
94	0	<eps>	#
84	95	-	<eps>
95	96	<eps>	^
