0	1	<s>	<s>
1	0	<eps>	<eps>
0	2	</s>	</s>
2	0	<eps>	<eps>
0	3	<unk>	<unk>
3	0	<eps>	<eps>
0	4	a	a
4	5	c	c
5	6	c	c
6	7	i	i
7	8	d	d
8	9	e	e
9	10	n	n
10	11	t	t
11	12	+N	<eps>
12	13	+SG	<eps>
13	0	<eps>	#
12	14	+PL	^s
14	0	<eps>	#
11	15	-	<eps>
15	16	<eps>	^
16	17	a	a
17	18	l	l
18	19	+ADJ	<eps>
19	0	<eps>	#
18	20	-	<eps>
20	21	<eps>	^
21	22	i	i
22	23	s	s
23	24	m	m
24	25	+N	<eps>
25	0	<eps>	#
24	26	+PL	^s
26	0	<eps>	#
26	28	+PLPS	'
28	0	<eps>	#
24	27	+SGPS	's
27	0	<eps>	#
18	29	-	<eps>
29	30	<eps>	^
30	31	i	i
31	32	s	s
32	33	t	t
33	34	+N	<eps>
34	0	<eps>	#
33	35	+PL	^s
35	0	<eps>	#
35	37	+PLPS	'
37	0	<eps>	#
33	36	+SGPS	's
36	0	<eps>	#
18	38	-	<eps>
38	39	<eps>	^
39	40	e	e
40	41	s	s
41	42	s	s
42	43	+N	<eps>
43	0	<eps>	#
42	44	+PL	^s
44	0	<eps>	#
44	46	+PLPS	'
46	0	<eps>	#
42	45	+SGPS	's
45	0	<eps>	#
18	47	-	<eps>
47	48	<eps>	^
48	49	i	i
49	50	t	t
50	51	y	y
51	52	+N	<eps>
52	0	<eps>	#
51	53	+PL	^s
53	0	<eps>	#
53	55	+PLPS	'
55	0	<eps>	#
51	54	+SGPS	's
54	0	<eps>	#
18	56	-	<eps>
56	57	<eps>	^
57	58	l	l
58	59	y	y
59	60	+ADV	<eps>
60	0	<eps>	#
5	61	t	t
61	62	+N	<eps>
62	63	+SG	<eps>
63	0	<eps>	#
62	64	+PL	^s
64	0	<eps>	#
4	65	i	i
65	66	m	m
66	67	+N	<eps>
67	68	+SG	<eps>
68	0	<eps>	#
67	69	+PL	^s
69	0	<eps>	#
4	70	n	n
70	71	g	g
71	72	e	e
72	73	r	r
73	74	+N	<eps>
74	75	+SG	<eps>
75	0	<eps>	#
74	76	+PL	^s
76	0	<eps>	#
73	77	-	<eps>
77	78	<eps>	^
78	79	y	y
79	80	+ADJ	<eps>
80	0	<eps>	#
79	81	-	<eps>
81	82	<eps>	^
82	83	l	l
83	84	y	y
84	85	+ADV	<eps>
85	0	<eps>	#
70	86	s	s
86	87	w	w
87	88	e	e
88	89	r	r
89	90	+N	<eps>
90	91	+SG	<eps>
91	0	<eps>	#
90	92	+PL	^s
92	0	<eps>	#
70	93	x	x
93	94	i	i
94	95	e	e
