0	1	<s>	<s>
1	0	<eps>	<eps>
0	2	</s>	</s>
2	0	<eps>	<eps>
0	3	<unk>	<unk>
3	0	<eps>	<eps>
0	4	a	a
4	5	l	l
5	6	l	l
6	0	+PRN	#
4	7	n	n
7	8	o	o
8	9	t	t
9	10	h	h
10	11	e	e
11	12	r	r
12	0	+PRN	#
7	13	y	y
13	14	b	b
14	15	o	o
15	16	d	d
16	17	y	y
17	0	+PRN	#
13	18	o	o
18	19	n	n
19	20	e	e
20	0	+PRN	#
13	21	t	t
21	22	h	h
22	23	i	i
23	24	n	n
24	25	g	g
25	0	+PRN	#
0	26	b	b
26	27	o	o
27	28	t	t
28	29	h	h
29	0	+PRN	#
0	30	e	e
30	31	a	a
31	32	c	c
32	33	h	h
33	0	+PRN	#
30	34	i	i
34	35	t	t
35	36	h	h
36	37	e	e
37	38	r	r
38	0	+PRN	#
30	39	v	v
39	40	e	e
40	41	r	r
41	42	y	y
42	43	b	b
43	44	o	o
44	45	d	d
45	46	y	y
46	0	+PRN	#
42	47	o	o
47	48	n	n
48	49	e	e
49	0	+PRN	#
42	50	t	t
50	51	h	h
51	52	i	i
52	53	n	n
53	54	g	g
54	0	+PRN	#
0	55	f	f
55	56	e	e
56	57	w	w
57	0	+PRN	#
0	58	h	h
58	59	e	e
59	60	r	r
60	61	s	s
61	62	e	e
62	63	l	l
63	64	f	f
64	0	+PRN	#
58	65	i	i
65	66	m	m
66	67	s	s
67	68	e	e
68	69	l	l
69	70	f	f
70	0	+PRN	#
65	71	s	s
71	0	+PRN	#
0	72	i	i
72	73	t	t
73	74	s	s
74	75	e	e
75	76	l	l
76	77	f	f
77	0	+PRN	#
0	78	l	l
78	79	i	i
79	80	t	t
80	81	t	t
81	82	l	l
82	83	e	e
83	0	+PRN	#
0	84	m	m
84	85	a	a
85	86	n	n
86	87	y	y
87	0	+PRN	#
84	88	e	e
88	0	+PRN	#
84	89	i	i
89	90	n	n
90	91	e	e
91	0	+PRN	#
84	92	o	o
92	93	r	r
93	94	e	e
94	0	+PRN	#
92	95	s	s
95	96	t	t
96	0	+PRN	#
84	97	u	u
97	98	c	c
98	99	h	h
99	0	+PRN	#
84	100	y	y
100	101	s	s
101	102	e	e
102	103	l	l
103	104	f	f
104	0	+PRN	#
0	105	n	n
105	106	e	e
106	107	i	i
107	108	t	t
108	109	h	h
109	110	e	e
110	111	r	r
111	0	+PRN	#
105	112	o	o
112	113	b	b
113	114	o	o
114	115	d	d
115	116	y	y
116	0	+PRN	#
112	117	n	n
117	118	e	e
118	0	+PRN	#
112	119	t	t
119	120	h	h
120	121	i	i
121	122	n	n
122	123	g	g
123	0	+PRN	#
0	124	o	o
124	125	t	t
125	126	h	h
126	127	e	e
127	128	r	r
128	129	s	s
129	0	+PRN	#
124	130	u	u
130	131	r	r
131	132	s	s
132	133	e	e
133	134	l	l
134	135	v	v
135	136	e	e
136	137	s	s
137	0	+PRN	#
0	138	s	s
138	139	e	e
139	140	v	v
140	141	e	e
141	142	r	r
142	143	a	a
143	144	l	l
144	0	+PRN	#
138	145	h	h
145	146	e	e
146	0	+PRN	#
138	147	o	o
147	148	m	m
148	149	e	e
149	150	b	b
150	151	o	o
151	152	d	d
152	153	y	y
153	0	+PRN	#
149	154	o	o
154	155	n	n
155	156	e	e
156	0	+PRN	#
149	157	t	t
157	158	h	h
158	159	i	i
159	160	n	n
160	161	g	g
161	0	+PRN	#
0	162	t	t
162	163	h	h
163	164	a	a
164	165	t	t
165	0	+PRN	#
163	166	e	e
166	167	i	i
167	168	r	r
168	169	s	s
169	0	+PRN	#
166	170	m	m
170	171	s	s
171	172	e	e
172	173	l	l
173	174	v	v
174	175	e	e
175	176	s	s
176	0	+PRN	#
166	177	s	s
177	178	e	e
178	0	+PRN	#
166	179	y	y
179	0	+PRN	#
163	180	i	i
180	181	s	s
181	0	+PRN	#
163	182	o	o
182	183	s	s
183	184	e	e
184	0	+PRN	#
0	185	u	u
185	186	s	s
186	0	+PRN	#
0	187	w	w
187	188	e	e
188	0	+PRN	#
187	189	h	h
189	190	a	a
190	191	t	t
191	192	e	e
192	193	v	v
193	194	e	e
194	195	r	r
195	0	+PRN	#
189	196	i	i
196	197	c	c
197	198	h	h
198	199	e	e
199	200	v	v
200	201	e	e
201	202	r	r
202	0	+PRN	#
189	203	o	o
203	204	e	e
204	205	v	v
205	206	e	e
206	207	r	r
207	0	+PRN	#
203	208	m	m
208	209	e	e
209	210	v	v
210	211	e	e
211	212	r	r
212	0	+PRN	#
203	213	s	s
213	214	e	e
214	0	+PRN	#
0	215	y	y
215	216	o	o
216	217	u	u
217	218	r	r
218	219	s	s
219	220	e	e
220	221	l	l
221	222	f	f
222	0	+PRN	#
221	223	v	v
223	224	e	e
224	225	s	s
225	0	+PRN	#
0
